BY50105,Unilever Deutschland Produktions GmbH & Co. OHG Schafft Ansbach
BY50193,Werzingerhof Wernfels Familie Pfahler 
BY50212,Biolandhof Burger Hofkäserei-Landwirtschaft
BY50248,Camphill Dorfgemeinschaft Hausenhof WfbM-Käserei
BY50329,Biolandhof Winter
BY50355,Bayrische Milchindustrie e. G. Landshut Werk Langenfeld
BY50386,Bassalig Catering GbR Jürgen und Bastian Bassalig 
BY50391,Opticura Service GmbH
BY50398,AWO-Catering
BY50399,Die Lebensgemeinschaft Münzinghof e. V. Die Werkstätten / Käserei 
BY50422,Essens-Service - Brigitte Löhnig
BY50430,Bauernhofeis Hüttinger 
BY60001,Landmetzgerei Kleinhenz GmbH 
BY60030,Rhönmetzgerei Klaus Arnold & Sohn
BY60114,Landmetzgerei Günter Feiler
BY70008,Maurener Eis Spezialitäten
BY70011,Ziegenhof Leiner Betriebsstätte Steingaden 6 
BY70015,Cognis GmbH Standort Illertissen
BY70019,Käserei Denklingen GmbH Betriebsstätte Schönau
BY70021,Colostrum Technologies GmbH
BY70025,Hochland Deutschland GmbH Werk Heimenkirch
BY70032,Alpe Sonnhalde
BY70036,Milchhof Lerf 
BY70037,Keck Spezialitäten GmbH
BY70041,Hofkäserei Kraus 
BY70043,Alpe Schrattenwang Müller GbR
BY70064,Hofkäserei Rauch 
BY70065,Käsekeller Thomas Breckle 
BY70076,Töpfer GmbH
BY70095,Stefan Kaiser 
BY70099,Sölleralpe Oberstdorf
BY70104,Inter-Planing GmbH
BY70124,Alpenhof Käsewerk GmbH 
BY70130,Bauernhof Häfele A. u. S. Häfele GbR
BY70177,Colostrum Technologies Herstellung biologischer Produkte GmbH 
BY70188,Selge Feinkost Produktions- und Handelsgesellschaft mbH 
BY70210,Alpe Stoffelberg 
BY70223,Gutsmolkerei Schwaighof Zeising e.K.
BY70373,Hubert Liebert
BY70534,Allgäu Milch Käse e. G.
BY70536,Allgäu Milch Käse e. G.
BY70546,Rudolf Gmeiner Sellthürner Käskuche
BY70548,Käsereigenossenschaft Weizern e.G. 
BY77723,Molkerei Heinrich Gropper GmbH & Co. KG
BE001,Campina GmbH 
BE003,Vereinigte Molkereizentralen GmbH & Co. KG 
BE006,Francia Mozzarella GmbH
BE007,Otto Reichelt Fleisch- und Wurstwaren GmbH 
BE90003,Vereinigte Molkereizentralen GmbH & Co. KG
BE90006,Francia Mozzarella GmbH
BE90008,ISET Lebensmittel
BE90009,Lakomka Fresh Food Factory GmbH 
BE90086,Florida Eiscafe KG
BB003,Molkereigenossenschaft e.G. Wittstock
BB004,Molkereigenossenschaft e.G. Zehdenick
BB006,Campina GmbH 
BB007,Friesland Campina Germany GmbH Standort Elsterwerda
BB009,Molkerei Karstädt GmbH
BB011,Käserei Seelow GmbH
BB012,Milchwerke Oder-Spree GmbH
BB013,Molkerei Heidehof
BB014,Synanon Gut Schmerwitz GmbH Betriebsteil Hagelberg 
BB015,Schmachtenhagener Hof-Meierei
BB016,Ökodorf Brodowin Landwirtschafts GmbH u. Co. KG
BB017,Hemme Milch
BB018,Fude + Servahn Milchprodukte GmbH & Co. KG 
BB019,BOBALIS GmbH 
BB020,Agrostar Produktions- und Handels-GmbH
BB021,Frommann Produktion von Fleisch- und Wurstwaren GmbH Betriebsteil Lindenberg 
BB022,Deutsche Milchcafe GmbH
BB023,Schöller Lebensmittel GmbH & Co.KG
BB024,Walter Rau Lebensmittelwerke GmbH & Co.KG 
BB025,Gläserne Molkerei GmbH
BB026,Hoffnungstaler Anstalten Landwirtschaft Lobetal 
BB027,Bauernkäserei Wolters GmbH Pieter Wolters 
BB60002,Demeter- Landwirtschaftsbertrieb Hofkäserei Fred Pörschke 
BB63007,Stutenmilchfarm Zur grünen Oase 
BB64051,Hofkäserei des Ziegenhofes Zollbrücke 
BB65001,Antichi Sapori Rhinland Käserei GmbH
BB68001,Landwirtschaftsbetrieb Stephan Sonnabend 
BB72027,Bedien-Concept GmbH 
HH001,Bonora Verpackungen August Töpfer + Co. (GmbH + Co) 
HH002,A. Schmidt & Co. GmbH 
HH003,Fresh Factory Lebensmittel GmbH
HH005,Kühne & Nagel (AG & Co.) KG. Zweigniederlassung Hamburg
HH006,Delikant Feinkost GmbH
HH00002,Fonterra (Europe) GmbH 
HH00004,Milchhof Reitbrook GbR 
HE15,Jausenstation 
HE16,Ringgauer Landkäserei
HE001,Immergut-Milch GmbH
HE002,Trockenwerk Hessen GmbH
HE005,Upländer Bauernmolkerei GmbH
HE006,Milupa GmbH
HE007,Hochwald Nahrungsmittel-Werke GmbH Werk Hungen 
HE011,Hochwald Nahrungsmittel-Werke GmbH Werk Neukirchen 
HE012,Hochwald Nahrungsmittel-Werke GmbH Werk Hünfeld 
HE013,Schwälbchen Molkerei - Jakob Berz AG 
HE015,Molkerei Hüttenthal Wilhelm Kohlhage KG
HE016,Variopack GmbH
HE017,Elmar Möcklinghof
HE020,Molkerei Sachsenberg Besitzer Ernst Wetzke
HE022,Käserei Mack GmbH
HE023,Käserei W. Mack Inhaber W. Jung
HE024,Schwälbchen Molkerei Jakob Berz AG Zweigniederlassung Marburg a. d. Lahn
HE026,L'Abbate Käsefabrik
HE028,Eschenhof GbR Gabriele und Michael Oettermann
HE029,Käserei Ludwig Schmitt
HE030,Käserei F. Rettig
HE032,Käserei Hermann Horst GmbH
HE033,Margot Palmen-Althaus Dieter Althaus
HE036,Käserei H. Birkenstock GmbH 
HE037,Hochelheimer Käserei Hans-Willi Weber
HE038,Käserei Altenschlirf
HE039,Käserei Gemeinschaft Melchiorsgrund
HE040,Unilever Deutschland GmbH & Co. OHG Werk Heppenheim
HE041,Alter West Eiskrem AG 
HE042,Wiesbadener Jugend-Werkstatt GmbH Betrieb Hessische Staatsdomäne Mechtildshausen
HE043,Attina Käsefabrik Inhaber Guiseppe Attina
HE044,Jacobi Pharma-Service GmbH & Co. KG
HE045,Kraft plus Fitness Sporternährung Roland Gerard GmbH
HE046,Milchwirtschaftliche Lehranstalt in Gelnhausen Betriebsstätte Königsberger Str. 3-6 
HE047,CALIDAD
HE049,Milchschafbetrieb Heegenhof 
HE050,Dottenfelder Hof Ernst Becker und Partner KG 
HE051,Lebensgemeinschaft Bingenheim Quellenhof
HE052,Hofkäserei Trumpfheller
HE053,Milchhof Sandra und Klaus Hügel
HE054,Peter Vogel
HE055,Gutsmolkerei Selgenhof Frühauf GbR Domäne Selgenhof
HE1015,Tobias Müller Hofgut Zorn 
HE10029,ITP Indian Catering Service Frau Rimmi Kumar
HE10800,Feinkost Dittmann im Vertrieb der Reichold Feinkost GmbH
HE10901,Frank Simon Klosterhof
HE10902,Weidenhof Achim Müller
HE10903,Odenwälder Käsekeller
HE10904,Herbert Lenhardt 
HE20900,Hofgut Friedelhausen Hofgemeinschaft für Heilende Arbeit e. V. 
HE20901,Rovema Verpackungsservice GmbH
HE20902,Hofkäserei Sonnenhof
HE20903,Christian Damm
HE30900,Milupa GmbH
HE30901,Hofkäserei der Claudia und Martin Jütte GbR 
HE30902,Kellerwald Hofkäserei Dülfershof Inh. Michael Schade
MV001,Danone GmbH Werk Hagenow 
MV002,Inselkäserei Usedom Steffen Schultze 
MV003,Molkerei-Naturprodukt GmbH Rügen
MV004,Goldschmidt Frischkäse GmbH 
MV005,Nordgut Käsewerk Hoffmann & Co. KG
MV006,Hansa-Milch AG
MV007,Hof Weitenfeld Hofmolkerei & Lieferservice Inh. Peter Guhl
MV009,Rücker's Ostsee-Molkerei Wismar GmbH 
MV010,Stern Maid GmbH 
MV012,Kunst & Käse Feine Ziegenkäsemanufaktur Ute Rohrbeck 
MV013,Offergeld Logistik GmbH & Co. oHG 
MV017,Humana Milchindustrie GmbH - Werk Bergen
MV024,Müritz-Milch GmbH
MV025,Immergut GmbH & Co. KG - Werk Stavenhagen
MV026,Euro Cheese Vertriebs GmbH
MV027,Humana Milchindustrie GmbH Werk Altentreptow
MV029,Zentralkäserei Mecklenburg-Vorpommern GmbH 
MV032,Eisbär Eis-Produktions GmbH Ribnitz-Damgarten 
MV16001,ProBioTan GmbH
MV16002,Baltic-Diäteis GmbH 
MV22001,Klaus GmbH & Co. KG 
MV31609,Pommerscher Ziegenkäse Herr Jan Brauer
MV36001,Ziegenhof Palmzin
MV36003,Biolandhof Bisdamitz GmbH & Co. KG 
MV36004,Hof Zandershagen 
MV36005,Hofkäserei - Alter Pfarrhof Elmenhorst Frau Claudia Resthöft
MV36006,SOS-Dorfgemeinschaft Grimmen-Hohenwieden 
MV46201,Diakonie Züssow Ostseelandwerkstatt Käserei und Geflügelschlachtung
MV56001,Wheyco GmbH
MV56002,Milchschafhof Melchior 
NI006,Frischli-Milchwerke
NI007,Molkerei Wagenfeld 
NI009,Molkerei Lamstedt eG
NI010,Nordmilch AG - Werk Zeven
NI014,Nordmilch AG - Werk Strückhausen
NI016,Milchwerke Gebr. Bermes GmbH
NI033,Heideblume Molkerei Elsdorf - Rotenburg eG 
NI035,Uelzena eG
NI042,WS Warmsener Spezialitäten GmbH
NI046,TURM-Sahne GmbH 
NI053,Hochwald Nahrungsmittel-Werke GmbH Milchwerk Lüneburg
NI056,Molkerei Grafschaft Hoya e.G.
NI057,Rücker GmbH
NI058,Euro Cheese Vertriebs-GmbH
NI059,Humana Milchindustrie GmbH Werk Georgsmarienhütte 
NI060,Kraft Foods Deutschland GmbH
NI061,August Loose GmbH & Co.KG
NI063,DP Trockenwerk GmbH / Corman GmbH 
NI064,Molkerei Ammerland eG 
NI066,Etelser & Alperi Käsewerk GmbH 
NI076,Nestlé Schöller Produktions GmbH
NI081,Paul Mertens Molkerei GmbH & Co.KG
NI085,CSM Deutschland GmbH
NI086,Nordmilch AG - Werk Edewecht
NI087,Roncadin GmbH
NI090,Molkerei Ammerland eG 
NI093,Molkereigenossenschaft Wiesedermeer e.G.
NI097,Biolac GmbH&CO KG. 
NI099,Molkerei Hasenfleet eG
NI102,Eisbär Eis GmbH 
NI103,Molkerei Eickedorf GmbH
NI104,Poppinga Käseservice
NI107,Petri Feinkost GmbH & Co. KG
